5537,N
15335,S
9135,O
11821,N
17419,S
10831,N
8748,N
19452,S
23890,S
22166,S
4498,S
23449,S
11858,S
17824,S
25697,S
4536,S
22916,S
5581,S
14587,S
28044,S
26933,N
27861,S
4868,S
2826,S
16113,S
6467,N
10325,N
13568,N
14516,N
5792,N
3477,N
7379,N
14167,S
25818,S
4457,N
1057,N
22959,N
18045,A
18639,N
16393,N
17959,S
25348,S
4982,N
3228,S
4148,S
18856,A
28507,N
10098,S
2557,S
11225,N
10165,N
12328,N
24624,N
27820,S
24583,S
26834,N
19319,N
11267,S
14589,N
15610,N
29938,N
25149,A
17757,N
26173,N
23294,N
1235,S
12612,S
22295,N
22718,N
25748,S
16978,N
28113,N
24457,S
20176,S
15478,N
24725,S
29436,N
10260,N
4554,N
4393,N
8096,N
1668,S
4397,N
14752,S
2140,S
4870,N
2868,N
27927,S
26325,S
17625,O
14801,S
1487,S
14019,S
26280,S
23589,S
24707,S
11222,A
26313,N
24014,N
11563,N
29552,N
24001,N
17062,S
20748,N
12275,N
26348,N
25937,N
22304,S
4858,S
22532,S
25173,N
339,N
19211,N
12341,S
8006,N
2232,S
27894,N
4841,O
7436,S
14042,N
26701,N
696,O
21082,O
27143,S
18398,N
28880,S
3276,S
8622,S
21553,S
23622,N
8153,N
27328,S
5461,N
20188,S
27670,O
23691,N
20802,N
14828,S
14375,N
12101,S
414,S
24381,N
24155,S
22099,S
14642,S
28821,S
3005,O
9382,N
26557,S
29435,N
24005,S
29669,S
12365,S
23859,N
9350,S
7777,S
10993,S
23720,N
16382,N
27790,O
14198,N
6817,A
10874,S
1828,N
29294,N
16334,N
3994,N
7427,N
7986,S
12952,S
27664,S
13283,N
22484,S
19705,O
6230,N
27194,S
529,N
24084,S
20834,N
10814,N
2275,S
6523,S
951,N
4186,S
4832,O
13820,N
16883,N
18796,N
2614,N
5189,S
23341,N
10876,S
23016,S
19915,N
14003,N
10313,N
25523,S
14886,S
3175,S
21064,N
8469,N
10026,S
7240,N
8892,N
23140,N
9428,N
29617,S
9493,S
17142,N
2030,O
18033,S
6017,N
26638,N
18583,N
5717,N
9167,N
22809,S
17978,S
25158,N
24192,N
15668,N
24028,S
14711,N
764,N
12955,S
2141,O
5162,N
28029,N
18898,N
5238,N
13643,O
7828,S
10891,S
1778,N
13183,S
21034,S
20323,S
12884,N
5472,S
4138,N
25980,S
13548,S
6799,N
26715,S
27532,N
12478,O
25468,N
17128,S
9716,O
23166,S
4315,S
24777,S
7770,N
29575,S
23063,N
15463,O
14940,S
17358,S
6936,S
97,S
14166,N
22004,S
8849,S
22237,S
29086,N
29843,N
25805,S
7367,N
16014,N
10125,S
1642,S
27402,N
6283,S
12781,N
16492,N
20988,N
26378,S
27344,S
17571,N
12315,S
20705,N
27912,S
3690,S
15090,N
27366,N
20939,N
22299,S
28133,S
14818,S
22133,N
26216,S
22598,S
22503,N
7355,S
22529,N
26222,N
16676,N
12357,N
14533,N
5364,S
539,N
14389,N
25388,S
3877,N
10585,S
1975,S
22130,S
29587,N
6538,S
17833,N
27642,N
7968,O
26006,N
10135,S
5584,S
10270,S
10187,S
21333,S
27595,N
29924,S
29431,S
27016,S
24759,N
9201,N
16091,S
6070,N
21949,S
22040,N
3058,N
2633,N
24463,S
26580,N
27974,N
24906,N
19046,N
12708,S
1014,S
23915,S
1322,N
12192,S
27723,S
16907,S
8757,N
1575,N
18057,S
6739,N
17473,O
6327,S
21577,S
8413,S
28890,N
18802,S
29207,S
4416,N
20599,N
25183,S
8097,N
27871,S
13090,S
10604,N
1955,N
7094,S
2283,S
3126,N
29104,N
9967,N
507,S
4296,N
13055,N
14269,N
3117,S
14050,S
24853,N
8086,N
28636,S
26068,S
9163,N
11509,N
6100,S
1838,N
14155,N
6868,S
18326,S
12767,S
7594,N
28478,N
26586,S
2841,S
10277,N
17496,S
12885,N
22936,S
4816,N
14796,N
5121,O
16241,N
11346,S
10121,S
27507,N
6939,N
29950,N
8548,S
9912,S
9653,N
2055,N
27149,N
22139,N
17231,S
22329,S
23087,S
18422,S
20194,N
23373,S
8311,S
2208,S
4799,S
4311,S
2480,N
16176,S
20454,N
13575,N
18881,N
10538,S
23670,S
11218,S
8685,S
25492,S
13539,N
4601,S
18141,S
15153,S
11042,N
1338,S
1507,N
16272,S
26288,N
20679,N
20379,S
12164,S
29249,S
7609,N
12081,N
9047,N
26045,S
28454,N
5329,S
4943,N
4915,N
3576,N
16719,O
21052,O
27731,N
5314,N
27009,N
250,S
13472,N
5797,S
25378,N
22438,N
24758,N
13310,N
6546,N
3247,N
20118,S
18695,S
14442,N
1088,N
6207,N
15358,N
3160,N
11786,N
26896,N
17748,S
18762,N
22920,S
14757,N
9761,S
29066,S
12204,S
20647,N
7267,N
18464,N
21933,O
24876,S
20892,S
6528,N
28713,N
26713,N
7438,S
7187,N
14148,S
14727,S
16821,N
6097,S
25801,S
11716,N
589,N
22985,S
988,N
28308,S
16815,N
21223,A
4285,O
27606,N
19000,N
21372,N
7075,O
15138,S
6115,O
24683,N
12518,S
29919,S
22058,S
16496,N
29285,S
28545,N
254,N
23331,N
7583,N
22332,S
10148,N
11126,S
12125,S
2571,S
19938,S
15502,S
26541,N
15811,S
11486,N
28698,N
9525,S
3747,N
3346,N
13811,S
21105,S
14066,S
19331,S
25819,S
27598,N
3380,N
16658,N
3370,N
6587,N
28831,S
24432,N
12304,S
2319,N
18174,S
24980,S
19927,N
1261,S
25791,O
29819,N
16090,S
4985,N
2812,S
8614,N
2151,S
15916,S
15191,S
3132,S
6336,S
13124,N
28285,S
25069,S
22594,S
29337,N
23608,N
28617,S
29666,N
25404,N
8603,N
25717,N
10671,N
12522,S
8188,S
24025,N
19763,N
24752,S
16540,O
4413,N
21107,S
18633,N
19651,S
29078,S
23038,N
23775,S
2233,N
19013,N
6930,N
29379,N
27057,N
22324,N
17753,S
28656,S
23360,S
1251,N
24202,N
12996,N
1462,N
21865,N
9953,S
1762,S
5590,O
5894,O
29044,S
8952,S
9595,N
809,N
13077,S
5650,N
27999,N
25493,S
25139,S
11223,S
3361,N
18310,N
5392,S
10400,S
8113,S
5146,N
4579,N
4228,S
15275,S
10823,S
24982,N
4570,N
23580,N
6801,S
6980,O
14002,N
13585,S
372,N
15264,S
27842,N
3197,S
10422,S
9000,N
21185,N
13712,S
12201,S
9821,S
1491,N
29088,S
22460,S
2515,S
6672,N
20154,S
14548,S
15806,N
18127,N
3170,S
5085,S
27198,N
4087,S
10527,S
2152,S
22233,N
3353,O
6179,O
29096,N
11949,N
187,N
29357,S
3986,S
19988,N
19248,O
17265,S
3321,N
22094,S
6579,N
19458,S
364,N
16732,N
15462,O
28260,N
23362,N
241,N
27249,N
25798,S
4092,N
6696,S
22573,S
7516,S
23655,N
6068,S
15976,S
18842,S
10128,N
19652,S
812,N
28786,N
29183,N
10151,S
9932,S
15495,S
11445,S
6328,S
17919,N
1218,S
25309,N
27916,N
26258,S
2879,S
6645,S
10713,N
6127,S
3277,N
8873,N
2219,S
18615,N
1308,S
18433,S
2418,S
1335,S
